sentence	sentence_in_source_language_Japanese	sentence_in_target_language_English
10	雨 あし が 強 く な る 前 に 家 に 帰 ろ う 。	let 's get home before this rain gets any stronger .
17	彼 に 会 い に 行 っ た が 、 留守 だっ た 。	i went to see him , but he was out .
22	彼女 の 顔 が まず 頭 に 浮か ん だ 。	the first thing to come to mind was her face .
33	彼女 は 親切 に も 町 を 案内 し て くれ た 。	she was kind enough to show me around the town .
51	毎日 、 ６ 時 まで に は 帰 り ま す 。	i 'll be back by 6 o 'clock every day .
87	座 っ て は いけ な い の か と 思 っ た 。	i thought i might not be supposed to sit down .
90	彼 は 映画 に 行 く こと は まず 無 い 。	he seldom , if ever , goes to the movies .
95	部屋 を いそい で かたづけ て ほし い の 。	i want you to put the room in order quickly .
104	シカゴ から の 飛行 機 が 夜 遅 く 空港 に 到着 し た 。	the plane from chicago arrived at the airport late at night .
116	その 新し い 計画 に 関 し て は あなた に 賛成 でき な い 。	i cannot agree with you as regards the new plan .
123	その 本 を 読 ん だら 、 もと の ところ へ 置 き なさ い 。	when you 're done with the book , put it back where you found it .
128	トム は 電話 で １ 時間 喋 り つづけ て い る 。	tom has been talking on the phone for an hour .
137	駅 へ どう や っ て 行 く か 教え て 下さ い 。	could you tell me how to get to the station ?
152	先生 の 言葉 で メアリー は 冷や汗 を か い た 。	the teacher 's words put mary in a cold sweat .
159	その 辞書 は 役 に 立 つ し 、 おまけ に 高 く な い 。	the dictionary is useful and , what is more , not expensive .
173	彼 は この 仕事 を 始め て から 暮らし 向き が よ い 。	he has been well off since he started this job .
186	その 時 は その 時 さ 。	i 'll just cross that bridge when i come to it .
196	私 は 彼女 が どう する つもり なの か まったく わか ら な い 。	i am quite in the dark as to what she is going to do .
202	ハリー は 事故 の ため に 昨日 授業 に 遅れ た 。	harry was late for class yesterday because of his accident .
203	私 は 来週 ニューヨーク に 行 く 筈 に な っ て い る 。	i 'm supposed to go to new york next week .
220	私 は いつ も 朝 に コーヒー を ２ 杯 飲 み ま す 。	i always have two cups of coffee in the morning .
233	これ は 私 が 今 まで に 読 ん だ 最も 面白 い 物語 だ 。	this is the most interesting story that i have ever read .
253	その ２人 の 政治 家 は 初めて 面 と 向か っ て 会 っ た 。	the two politicians met face to face for the first time .
256	私 が あなた に １ ドル 払 え ば 清算 が つ く 。	if i pay you a dollar , we 'll be even .
261	重 く て 私 に は もて な い 。	it 's so heavy that i can 't lift it .
275	私 は ジャーナリスト に な る 決心 を し ま し た 。	i have made up my mind to become a journalist .
279	それ は 彼女 が 言葉 に し た く な い こと だっ た 。	it was something she did not want to put into words .
